Acetobacter_pasteurianus_386B  NC_021991.1
Bacillus_thuringiensis_HD-789  NC_018508.1
Bacillus_thuringiensis_MC28  NC_018693.1
Bacillus_thuringiensis_YBT-1518  NC_022873.1
Bacillus_thuringiensis_serovar_chinensis_CT-43  NC_017208.1
Bacillus_thuringiensis_serovar_finitimu  NC_017200.1
Bacillus_thuringiensis_serovar_kurstaki_str  NZ_CP007607.1
Bacillus_thuringiensis_serovar_thuringiensi  NC_020376.1
Bacillus_toyonensis_BCT-7112  NC_022781.1
Bacillus_weihenstephanensis_KBAB4  NC_010184.1
Bacteroidales_bacterium_CF  NZ_CP006772.1
Bacteroides_thetaiotaomicron_VPI-5482  NC_004663.1
Bdellovibrio_bacteriovorus  NZ_CP007656.1
Bdellovibrio_bacteriovorus_HD100  NC_005363.1
Bdellovibrio_bacteriovorus_W  NZ_CP002190.1
Bdellovibrio_bacteriovorus_str._Tiberius  NC_019567.1
Beijerinckia_indica_subsp._indica_ATCC_9039  NC_010581.1
Beutenbergia_cavernae_DSM_12333  NC_012669.1
Blastococcus_saxobsidens_DD2  NC_016943.1
Bordetella_bronchiseptica_253  NC_019382.1
Bordetella_bronchiseptica_RB50  NC_002927.3
Bordetella_petrii  NC_010170.1
Brachyspira_pilosi  Bradyrhizobium_diazoefficiens_USDA_110  NC_004463.1
Bradyrhizobium_japonicum_SEMIA_5079  NZ_CP007569.1
Bradyrhizobium_japonicum_USDA_6  NC_017249.1
Bradyrhizobium_oligotrophicum_S58  NC_020453.1
Bradyrhizobium_sp._ORS_278  NC_009445.1
Bradyrhizobium_sp._S23321  NC_017082.1
Brevibacillus_brevis_NBRC_100599  NC_012491.1
Brucella_abortus_2308  NC_007618.1
Brucella_abortus_BDW  NZ_CP007681.1
Brucella_abortus_bv._1_str._9-941  NC_006932.1
Brucella_abortus_bv._9_str._C68  NZ_CP007705.1
Brucella_abortus_strain_63_75  NZ_CP007663.1
Brucella_canis_ATCC_23365  NC_010103.1
Brucella_melitensis_M5-90  NC_017246.1
Brucella_melitensis_bv._2_  Brucella_microti_CCM_4915  NC_013119.1
Brucella_ovis_ATCC_25840  NC_009505.1
Brucella_pinnipedi  Brucella_suis_ATCC_23445  NC_010169.1
Brucella_suis_bv._1_str._S2  NZ_CP006961.1
Burkholderia_ambifaria_AMMD  NC_008390.1
Burkholderia_ambifaria_MC40-6  NC_010551.1
Burkholderia_cenocepacia  NZ_CP007783.1
Burkholderia_cenocepacia_HI2424  NC_008542.1
Burkholderia_cenocepacia_MC0-3  NC_010508.1
Burkholderia_cepacia  NZ_CP007787.1
Burkholderia_cepacia_GG4  NC_018513.1
Burkholderia_glumae_BGR1  NC_012724.2
Burkholderia_lata  NC_007510.1
Burkholderia_multivorans  NZ_CP008730.1
Burkholderia_multivorans_ATCC_17616  NC_010084.1
Burkholderia_phenoliruptrix_BR3459a  NC_018695.1
Burkholderia_phymatum_STM815  NC_010622.1
Burkholderia_phytofirmans_PsJN  NC_010681.1
Burkholderia_pseudomallei_1106a  NC_009076.1
Burkholderia_pseudomallei_1710b  NC_007434.1
Burkholderia_pseudomallei_668  NC_009074.1
Burkholderia_pseudomallei_BPC006  NC_018527.1
Burkholderia_pseudomallei_K96243  NC_006350.1
Burkholderia_rhizoxinica_HKI_454  NC_014722.1
Burkholderia_sp._CCGE1002  NC_014117.1
Burkholderia_sp._KJ006  NC_017920.1
Burkholderia_sp._YI23  NC_016589.1
Burkholderia_thailandensis_E264  NC_007651.1
Burkholderia_thailandensis_MSMB121  NC_021173.1
Burkholderia_thailandensis_USAMRU_Malaysia_#20  NZ_CP004383.1
Burkholderia_vietnamiensis_G4  NC_009256.1
Burkholderia_xenovorans_LB400  NZ_CP008760.1
Campylobacter_coli_15-537360  NC_022660.1
Campylobacter_curvus_525.92  NC_009715.1
Campylobacter_jejuni_subsp._jejuni_PT14  NC_018709.3
Candidatus_Accumulibacter_phosphatis_clade_II  NC_013194.1
Candidatus_Desulforudis_audaxviator_MP104C  NC_010424.1
Candidatus_Koribacter_versatilis_Ellin345  NC_008009.1
Candidatus_Protochlamydia_amoebophila_UWE25  NC_005861.1
Candidatus_Solibacter_usitatus_Ellin6076  NC_008536.1
Capnocytophaga_canimorsus_Cc5  NC_015846.1
Catenulispora_acidiphila_DSM_44928  NC_013131.1
Caulobacter_segnis_ATCC_21756  NC_014100.1
Caulobacter_sp._K31  NC_010338.1
Cellulomonas_flavigena_DSM_20109  NC_014151.1
Cellulophaga_lytica_DSM_7489  NC_015167.1
Cellvibrio_japonicus_Ueda107  NC_010995.1
Chania_multitudinisentens_RB-25  NZ_CP007044.2
Chelativorans_sp._BNC1  NC_008254.1
Chitinophaga_pinensis_DSM_2588  NC_013132.1
Chlamydophila_caviae_GPIC  NC_003361.3
Chloracidobacterium_thermophilum_B  NC_016024.1
Chlorobium_chlorochromatii_CaD3  NC_007514.1
Chlorobium_luteolum_DSM_273  NC_007512.1
Chlorobium_phaeobacteroides_DSM_266  NC_008639.1
Chromohalobacter_salexigens_DSM_3043  NC_007963.1
Chroococcidiopsis_thermalis_PCC_7203  NC_019695.1
Chthonomonas_calidirosea_T49  NC_021487.1
Citrobacter_freundii_CFNIH1  NZ_CP007557.1
Citrobacter_koseri_ATCC_BAA-895  NC_009792.1
Clavibacter_michiganensis_subsp._michiganensi  NC_009480.1
Clostridium_acetobutylicum_ATCC_824  NC_003030.1
Clostridium_acetobutylicum_DSM_1731  NC_015687.1
Clostridium_acetobutylicum_EA_2018  NC_017295.1
Clostridium_beijerinckii_NCIMB_8052  NC_009617.1
Clostridium_botulinum_A2_str._Kyoto  NC_012563.1
Clostridium_botulinum_A3_str._Loch_Maree  NC_010520.1
Clostridium_botulinum_A_str._Hall  NC_009698.1
Clostridium_botulinum_B1_str._Okra  NC_010516.1
Clostridium_botulinum_BKT015925  NC_015425.1
Clostridium_botulinum_Ba4_str._657  NC_012658.1
Clostridium_botulinum_H04402_065  NC_017299.1
Clostridium_cellulovorans_743B  NC_014393.1
Clostridium_kluyveri_DSM_555  NC_009706.1
Clostridium_kluyveri_NBRC_12016  NC_011837.1
Clostridium_ljungdahlii_DSM_13528  NC_014328.1
Clostridium_novyi_NT  NC_008593.1
Clostridium_pasteurianum_BC1  NC_021182.1
Clostridium_perfringens_ATCC_13124  NC_008261.1
Clostridium_perfringens_str._13  NC_003366.1
Clostridium_saccharobutylicum_DSM_13864  NC_022571.1
Clostridium_saccharoperbutylacetonicu  NC_020291.1
Collimonas_fungivorans_Ter331  NC_015856.1
Corallococcus_coralloides_DSM_2259  NC_017030.1
Corynebacterium_callunae_DSM_20147  NC_020506.1
Corynebacterium_diphtheriae_BH8  NC_016800.1
Corynebacterium_diphtheriae_C7_(beta)  NC_016801.1
Corynebacterium_diphtheriae_VA01  NC_016790.1
Corynebacterium_efficiens_YS-314  NC_004369.1
Corynebacterium_glutamicum_ATCC_13032  NC_006958.1
Corynebacterium_glutamicum_K051  NC_020519.1
Corynebacterium_glutamicum_R  NC_009342.1
Corynebacterium_halotolerans_YIM_70093  NC_020302.1
Corynebacterium_jeikeium_K411  NC_007164.1
Corynebacterium_pseudotuberculosis  NZ_CP008923.1
Corynebacterium_pseudotuberculosis_1002  NC_017300.1
Corynebacterium_pseudotuberculosis_P54B96  NC_017031.1
Corynebacterium_terpenotabidum_Y-11  NC_021663.1
Corynebacterium_ulcerans_809  NC_017317.1
Corynebacterium_ulcerans_BR-AD22  NC_015683.1
Corynebacterium_variabile_DSM_44702  NC_015859.1
Coxiella_burnetii_RSA_493  NC_002971.3
Cupriavidus_metallidurans_CH34  NC_007973.1
Cupriavidus_necator_N-1  NC_015726.1
Cupriavidus_taiwanensis_LMG_19424  NC_010528.1
Cyanobacterium_aponinum_PCC_10605  NC_019776.1
Cyanothece_sp._PCC_7424  NC_011729.1
Cyanothece_sp._PCC_7425  NC_011884.1
Cyanothece_sp._PCC_8801  NC_011726.1
Cyanothece_sp._PCC_8802  NC_013161.1
Cylindrospermum_stagnale_PCC_7417  NC_019757.1
Cytophaga_hutchinsonii_ATCC_33406  NC_008255.1
Dactylococcopsis_salina_PCC_8305  NC_019780.1
Dechloromonas_aromatica_RCB  NC_007298.1
Dechlorosoma_suillum_PS  NC_016616.1
Dehalobacter_restrictus_DSM_9455  NZ_CP007033.1
Dehalobacter_sp._CF  NC_018867.1
Dehalobacter_sp._DCA  NC_018866.1
Dehalococcoides_mccartyi_195  NC_002936.3
Dehalococcoides_mccartyi_BAV1  NC_009455.1
Dehalococcoides_mccartyi_BTF08  NC_020387.1
Dehalococcoides_mccartyi_CBDB1  NC_007356.1
Dehalococcoides_mccartyi_DCMB5  NC_020386.1
Dehalococcoides_mccartyi_GY50  NC_022964.1
Dehalococcoides_mccartyi_VS  NC_013552.1
Dehalogenimonas_lykanthroporepellens_BL-DC-9  NC_014314.1
Deinococcus_deserti_VCD115  NC_012526.1
Deinococcus_gobiensis_I-0  NC_017790.1
Deinococcus_maricopensis_DSM_21211  NC_014958.1
Deinococcus_peraridilitoris_DSM_19664  NC_019793.1
Deinococcus_proteolyticus_MRP  NC_015161.1
Deinococcus_radiodurans_R1  NC_001264.1
Delftia_acidovorans_SPH-1  NC_010002.1
Delftia_sp._Cs1-4  NC_015563.1
Denitrovibrio_acetiphilus_DSM_12809  NC_013943.1
Desulfarculus_baarsii_DSM_2075  NC_014365.1
Desulfitobacterium_dehalogenans_ATCC_51507  NC_018017.1
Desulfitobacterium_dichloroeliminans_LM  NC_019903.1
Desulfitobacterium_hafniense_Y51  NC_007907.1
Desulfobulbus_propionicus_DSM_2032  NC_014972.1
Desulfococcus_oleovorans_Hxd3  NC_009943.1
Desulfosporosinus_acidiphilus_SJ4  NC_018068.1
Desulfosporosinus_meridiei_DSM_13257  NC_018515.1
Desulfosporosinus_orientis_DSM_765  NC_016584.1
Desulfotomaculum_gibsoniae_DSM_7213  NC_021184.1
Desulfotomaculum_kuznetsovii_DSM_6115  NC_015573.1
Desulfotomaculum_nigrificans_CO-1-SRB  NC_015565.1
Desulfotomaculum_ruminis_DSM_2154  NC_015589.1
Desulfovibrio_aespoeensis_Aspo-2  NC_014844.1
Desulfovibrio_africanus_str._Walvis_Bay  NC_016629.1
Desulfovibrio_alaskensis_G20  NC_007519.1
Desulfovibrio_magneticus_RS-1  NC_012796.1
Desulfovibrio_salexigens_DSM_2638  NC_012881.1
Desulfovibrio_vulgaris_RCH1  NC_017310.1
Desulfovibrio_vulgaris_str._'Miyazaki_F'  NC_011769.1
Desulfurococcus_mucosus_DSM_2162  NC_014961.1
Dickeya_dadantii_3937  NC_014500.1
Dickeya_dadantii_Ech586  NC_013592.1
Dyella_japonica_A8  NZ_CP008884.1
Ehrlichia_ruminantium_str._Gardel  NC_006831.1
Enterobacter_asburiae_L1  NZ_CP007546.1
Enterobacter_cloacae_EcWSU1  NC_016514.1
Enterobacter_cloacae_subsp._dissolvens_SDM  NC_018079.1
Enterobacter_lignolyticus_SCF1  NC_014618.1
Enterobacter_sp._638  NC_009436.1
Enterobacter_sp._R4-368  NC_021500.1
Enterococcus_faecium_NRRL_B-2354  NC_020207.1
Erwinia_amylovora_ATCC_49946  NC_013971.1
Erwinia_amylovora_CFBP1430  NC_013961.1
Erwinia_pyrifoliae_DSM_12163  NC_017390.1
Erwinia_pyrifol  Erwinia_sp._Ejp617  NC_017445.1
Erwinia_tasmanien  Erysipelothrix_rhusiopathiae_str._Fujisawa  NC_015601.1
Escherichia_coli_'BL21-Gold(DE3)pLysS_AG'  NC_012947.1
Escherichia_coli_ATCC_8739  NC_010468.1
Escherichia_coli_BL21(DE3)  NC_012971.2
Escherichia_coli_B_str._REL606  NC_012967.1
Escherichia_coli_NA114  NC_017644.1
Escherichia_coli_O157:H7_str._EDL933  NZ_CP008957.1
Escherichia_coli_O55:H7_str._CB9615  NC_013941.1
Escherichia_coli_W  NC_017664.1
Escherichia_coli_str._'clone_D_i2'  NC_017651.1
Escherichia_coli_str._K-12_substr._DH10B  NC_010473.1
Escherichia_coli_str._K-12_substr._MG1655  NC_000913.3
Eubacterium_acidaminophilum_DSM_3953  NZ_CP007452.1
Exiguobacterium_sibiricum_255-15  NC_010556.1
Exiguobacterium_sp._AT1b  NC_012673.1
Exiguobacterium_sp._MH3  NC_022794.1
Fervidobacterium_pennivorans_DSM_9078  NC_017095.1
Fimbriimonas_ginsengisoli_Gsoil_348  NZ_CP007139.1
Flavobacteriaceae_bacterium_3519-10  NC_013062.1
Flavobacterium_branchiophilum_FL-15  NC_016001.1
Flavobacterium_columnare_ATCC_49512  NC_016510.2
Flavobacterium_johnsoniae_UW101  NC_009441.1
Flavobacterium_psychrophilum  NZ_CP007627.1
Francisella_cf._novicida_Fx1  NC_017450.1
Francisella_cf._tularensis_subsp._novicid  NC_017449.1
Francisella_philomiragia_subsp._philomiragi  NC_010336.1
Francisella_sp._TX077308  NC_015696.1
Francisella_tularensis_subsp._holarctica_LVS  NC_007880.1
Francisella_tularensis_subsp._mediasiatic  NC_010677.1
Francisella_tularensis_subsp._tularensi  NC_008245.1
Frankia_alni_ACN14a  NC_008278.1
Frankia_sp._CcI3  NC_007777.1
Frankia_sp._EuI1c  NC_014666.1
Frankia_symbiont_of_Datisca_glomerata  NC_015656.1
Gallibacterium_anatis_UMN179  NC_015460.1
Gallionella_capsiferriformans_ES-2  NC_014394.1
Geitlerinema_sp._PCC_7407  NC_019703.1
Gemmatimonas_aurantiaca_T-27  NC_012489.1
Geobacillus_sp._GHH01  NC_020210.1
Geobacillus_sp._JF8  NC_022080.4
Geobacillus_thermodenitrificans_NG80-2  NC_009328.1
Geobacter_bemidjiensis_Bem  NC_011146.1
Geobacter_daltonii_FRC-32  NC_011979.1
Geobacter_lovleyi_SZ  NC_010814.1
Geobacter_sp._M18  NC_014973.1
Geobacter_sp._M21  NC_012918.1
Geobacter_sulfurreducens_KN400  NC_017454.1
Geobacter_uraniireducens_Rf4  NC_009483.1
Gloeobacter_violaceus_PCC_7421  NC_005125.1
Gloeocapsa_sp._PCC_7428  NC_019745.1
Gluconacetobacter_diazotrophicus_PA1_5  NC_011365.1
Gordonia_polyisoprenivorans_VH2  NC_016906.1
Gordonia_sp._KTR9  NC_018581.1
Granulibacter_bethesdensis_CGDNIH1  NC_008343.1
Granulibacter_bethesdensis_CGDNIH3  NZ_CP003181.1
Granulicella_mallensis_MP5ACTX8  NC_016631.1
Haemophilus_parasuis_SH0165  NC_011852.1
Halanaerobium_hydrogeniformans  NC_014654.1
Halobacillus_halophilus_DSM_2266  NC_017668.1
Haloferax_volcanii_DS2  NC_013967.1
Halomicrobium_mukohataei_DSM_12286  NC_013202.1
Halomonas_elongata_DSM_2581  NC_014532.1
Haloterrigena_turkmenica_DSM_5511  NC_013743.1
Heliobacterium_modesticaldum_Ice1  NC_010337.2
Hydrogenobacter_thermophilus_TK-6  NC_017161.1
Hymenobacter_sp._APR13  NZ_CP006587.1
Hyphomicrobium_denitrificans_1NES1  NC_021172.1
Hyphomicrobium_denitrificans_ATCC_51888  NC_014313.1
Hyphomicrobium_nitrativorans_NL23  NC_022997.1
Hyphomicrobium_sp._MC1  NC_015717.1
Ilumatobacter_coccineus_YM16-304  NC_020520.1
Ilyobacter_polytropus_DSM_2926  NC_014632.1
Janthinobacterium_sp._Marseille  NC_009659.1
Ketogulonicigenium_vulgare_WSH-001  NC_017384.1
Ketogulonicigenium_vulgare_Y25  NC_014625.1
Kineococcus_radiotolerans_SRS30216  NC_009664.2
Kitasatospora_setae_KM-6054  NC_016109.1
Klebsiella_oxytoca  NZ_CP008841.1
Klebsiella_oxytoca_KCTC_1686  NC_016612.1
Klebsiella_pneumoniae_CG43  NC_022566.1
Klebsiella_pneumoniae_subsp._pneumonia  NC_012731.1
Klebsiella_pneumoniae_subsp._pneumoniae_Kp13  NZ_CP003999.1
Klebsiella_pneumoniae_subsp._pneumoniae_MG  NC_009648.1
Kocuria_rhizophila_DC2201  NC_010617.1
Kribbella_flavida_DSM_17836  NC_013729.1
Kutzneria_albida_DSM_43870  NZ_CP007155.1
Lachnoclostridium_phytofermentans_ISDg  NC_010001.1
Lactobacillus_brevis_ATCC_367  NC_008497.1
Leadbetterella_byssophila_DSM_17132  NC_014655.1
Legionella_longbeachae_NSW150  NC_013861.1
Legionella_pneumophi  Legionella_pneumophila_str._Corby  NC_009494.2
Legionella_pneumophila_str._Lens  NC_006369.1
Legionella_pneumophila_str._Paris  NC_006368.1
Legionella_pneumophila_subsp._pneumophila  NC_018139.1
Legionella_pneumophila_subsp._pneumophila_ATC  NC_016811.1
Leptolyngbya_sp._PCC_7376  NC_019683.1
Leptospira_biflexa_serovar_Patoc_strain_'Pato  NC_010602.1
Leptospira_borgpetersenii_serovar_Hardjo-bovi_str_JB197  NC_008510.1
Leptospira_borgpetersenii_serovar_Hardjo-bovi_str_L550  NC_008508.1
Leptospira_interrogans_serovar_Copenhageni_str  NC_005823.1
Leptospira_interrogans_serovar_Lai_str._56601  NC_004342.2
Leptospira_interrogans_serovar_Lai_str._IPAV  NC_017551.1
Leptospirillum_ferriphilum_ML-04  NC_018649.1
Leptospirillum_ferriphilum_YSK  NZ_CP007243.1
Leptospirillum_ferrooxidans_C2-3  NC_017094.1
Leptothrix_cholodnii_SP-6  NC_010524.1
Leuconostoc_gelidum_subsp._gasicomitatum_LM  NC_014319.1
Leuconostoc_sp._C2  NC_015734.1
Listeria_innocua_Clip11262  NC_003212.1
Listeria_ivanovii_WSLC3009  NZ_CP007172.1
Listeria_monocytogenes  NZ_CP007600.1
Listeria_monocytogenes_08-5578  NC_013766.2
Listeria_monocytogenes_08-5923  NC_013768.1
Listeria_monocytogenes_10403S  NC_017544.1
Listeria_monocytogenes_ATCC_19117  NC_018584.1
Listeria_monocytogenes_FSL_R2-561  NC_017546.1
Listeria_monocytogenes_Finland_1998  NC_017547.1
Listeria_monocytogenes_HCC23  NC_011660.1
Listeria_monocytogenes_J0161  NC_017545.1
Listeria_monocytogenes_L312  NC_018642.1
Listeria_monocytogenes_L99  NC_017529.1
Listeria_monocytogenes_M7  NC_017537.1
Listeria_monocytogenes_SLCC2372  NC_018588.1
Listeria_monocytogenes_SLCC2378  NC_018585.1
Listeria_monocytogenes_SLCC2479  NC_018589.1
Listeria_monocytogenes_SLCC2540  NC_018586.1
Listeria_monocytogenes_SLCC2755  NC_018587.1
Listeria_monocytogenes_SLCC7179  NC_018593.1
Listeria_monocytogenes_serotype_4b_str._CLI  NC_012488.1
Listeria_monocytogenes_serotype_7_str  NC_018591.1
Listeria_seeligeri_se  Mahella_australiensis_50-1_BON  NC_015520.1
Marinobacter_hydrocarbonoclasticus_VT8  NC_008740.1
Marinomonas_sp._MWYL1  NC_009654.1
Mesorhizobium_australicum_WSM2073  NC_019973.1
Mesorhizobium_ciceri_ca181  Mesorhizobium_huakuii_7653R  NZ_CP006581.1
Mesorhizobium_loti_MAFF303099  NC_002678.2
Mesorhizobium_opportunistum_WSM2075  NC_015675.1
Methanobacterium_lacus  NC_015216.1
Methanobrevibacter_smithii_ATCC_35061  NC_009515.1
Methanocella_arvoryzae_MRE50  NC_009464.1
Methanocella_conradii_HZ254  NC_017034.1
Methanococcus_maripaludis_X1  NC_015847.1
Methanohalophilus_mahii_DSM_5219  NC_014002.1
Methanolacinia_petrolearia_DSM_11571  NC_014507.1
Methanolobus_psychrophilus_R15  NC_018876.1
Methanoregula_boonei_6A8  NC_009712.1
Methanosalsum_zhilinae_DSM_4017  NC_015676.1
Methanosarcina_acetivorans_C2A  NC_003552.1
Methanosarcina_barkeri_str._Fusaro  NC_007355.1
Methanosarcina_mazei_Go1  NC_003901.1
Methanosphaera_stadtmanae_DSM_3091  NC_007681.1
Methanothermus_fervidus_DSM_2088  NC_014658.1
Methylacidiphilum_infernorum_V4  NC_010794.1
Methylibium_petroleiphilum_PM1  NC_008825.1
Methylobacillus_flagellatus_KT  NC_007947.1
Methylobacterium_extorquens_CM4  NC_011757.1
Methylobacterium_extorquens_DM4  NC_012988.1
Methylobacterium_nodulans_ORS_2060  NC_011894.1
Methylobacterium_populi_BJ001  NC_010725.1
Methylobacterium_radiotolerans_JCM_2831  NC_010505.1
Methylobacterium_sp._4-46  NC_010511.1
Methylocella_silvestris_BL2  NC_011666.1
Methylocystis_sp._SC2  NC_018485.1
Methylovorus_sp._MP688  NC_014733.1
Micavibrio_aeruginosavorus_ARL-13  NC_016026.1
Micrococcus_luteus_NCTC_2665  NC_012803.1
Microcoleus_sp._PCC_7113  NC_019738.1
Microlunatus_phosphovorus_NM-1  NC_015635.1
Micromonospora_sp._L5  NC_014815.1
Modestobacter_marinus  NC_017955.1
Moorella_thermoacetica_ATCC_39073  NC_007644.1
Morganella_morganii_subsp._morganii_KT  NC_020418.1
Mycobacterium_abscessus_subsp._bolletii_str._G  NC_018150.2
Mycobacterium_africanum_GM041182  NC_015758.1
Mycobacterium_avium_104  NC_008595.1
Mycobacterium_avium_subsp._paratuberculosi  NC_021200.1
Mycobacterium_bovis_BCG_str._Tokyo_172  NC_012207.1
Mycobacterium_chubuense_NBB4  NC_018027.1
Mycobacterium_gilvum_PYR-GCK  NC_009338.1
Mycobacterium_intracellulare_ATCC_13950  NC_016946.1
